archivo,problema,gamma,semilla,min_fr,max_bl,tlimite,relleno_pct,vol_cargado,vol_contenedor,w_final,segundos
BR11.txt,4,1.50,3,98,10000,30.0,94.8287,28533592,30089620,36,30.00
BR11.txt,5,1.50,3,98,10000,30.0,95.0724,28606919,30089620,36,30.00
BR11.txt,6,1.50,3,98,10000,30.0,94.3163,28379409,30089620,36,30.00
BR11.txt,7,1.50,3,98,10000,30.0,94.1800,28338410,30089620,36,30.00
BR11.txt,8,1.50,3,98,10000,30.0,94.6280,28473210,30089620,36,30.00
BR11.txt,9,1.50,3,98,10000,30.0,94.3066,28376506,30089620,51,30.00
BR11.txt,10,1.50,3,98,10000,30.0,94.6077,28467101,30089620,36,30.00
BR11.txt,1,2.00,1,98,10000,30.0,94.8549,28541486,30089620,36,30.00
BR11.txt,2,2.00,1,98,10000,30.0,94.8854,28550662,30089620,36,30.00
BR11.txt,3,2.00,1,98,10000,30.0,94.1820,28339003,30089620,51,30.00
BR11.txt,4,2.00,1,98,10000,30.0,94.5006,28434867,30089620,36,30.00
BR11.txt,5,2.00,1,98,10000,30.0,94.6277,28473118,30089620,36,30.00
BR11.txt,6,2.00,1,98,10000,30.0,94.9553,28571681,30089620,36,30.00
BR11.txt,7,2.00,1,98,10000,30.0,93.9319,28263755,30089620,36,30.00
BR11.txt,8,2.00,1,98,10000,30.0,94.6146,28469182,30089620,36,30.00
BR11.txt,9,2.00,1,98,10000,30.0,94.6299,28473763,30089620,51,30.00
BR11.txt,10,2.00,1,98,10000,30.0,94.4438,28417793,30089620,36,30.00
BR11.txt,1,2.00,2,98,10000,30.0,94.5515,28450193,30089620,36,30.00
BR11.txt,2,2.00,2,98,10000,30.0,95.2124,28649037,30089620,36,30.00
BR11.txt,3,2.00,2,98,10000,30.0,94.0968,28313358,30089620,36,30.00
BR11.txt,4,2.00,2,98,10000,30.0,95.3895,28702325,30089620,36,30.00
BR11.txt,5,2.00,2,98,10000,30.0,94.6505,28479985,30089620,36,30.00
BR11.txt,6,2.00,2,98,10000,30.0,95.1025,28615966,30089620,36,30.00
BR11.txt,7,2.00,2,98,10000,30.0,94.0944,28312647,30089620,36,30.00
BR11.txt,8,2.00,2,98,10000,30.0,94.4897,28431586,30089620,36,30.00
BR11.txt,9,2.00,2,98,10000,30.0,94.8454,28538606,30089620,51,30.00
BR11.txt,10,2.00,2,98,10000,30.0,94.3383,28386047,30089620,36,30.00
BR11.txt,1,2.00,3,98,10000,30.0,94.4892,28431432,30089620,36,30.00
BR11.txt,2,2.00,3,98,10000,30.0,94.6765,28487789,30089620,36,30.00
BR11.txt,3,2.00,3,98,10000,30.0,94.4027,28405413,30089620,51,30.00
BR11.txt,4,2.00,3,98,10000,30.0,94.3396,28386441,30089620,36,30.00
BR11.txt,5,2.00,3,98,10000,30.0,95.4949,28734064,30089620,36,30.00
BR11.txt,6,2.00,3,98,10000,30.0,94.4105,28407746,30089620,36,30.00
BR11.txt,7,2.00,3,98,10000,30.0,94.3813,28398964,30089620,36,30.00
BR11.txt,8,2.00,3,98,10000,30.0,94.6680,28485236,30089620,36,30.00
BR11.txt,9,2.00,3,98,10000,30.0,94.7013,28495254,30089620,51,30.00
BR11.txt,10,2.00,3,98,10000,30.0,94.4115,28408057,30089620,36,30.00
BR15.txt,1,1.00,1,98,10000,30.0,94.2387,28356060,30089620,25,30.00
BR15.txt,2,1.00,1,98,10000,30.0,94.1166,28319326,30089620,25,30.00
BR15.txt,3,1.00,1,98,10000,30.0,93.9090,28256859,30089620,25,30.00
BR15.txt,4,1.00,1,98,10000,30.0,94.2177,28349751,30089620,25,30.00
BR15.txt,5,1.00,1,98,10000,30.0,93.8197,28229999,30089620,25,30.00
BR15.txt,6,1.00,1,98,10000,30.0,93.9697,28275118,30089620,17,30.00
BR15.txt,7,1.00,1,98,10000,30.0,93.4025,28104461,30089620,25,30.00
BR15.txt,8,1.00,1,98,10000,30.0,93.4636,28122833,30089620,25,30.00
BR15.txt,9,1.00,1,98,10000,30.0,94.2356,28355134,30089620,25,30.00
